Cost,RiskAdjustedCost,Frequency,Minor,Major,PCPID,ServiceProviderID,InNetwork
995.00,6629.00,7,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3904,3555,-1
80.00,800.00,2,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3904,24045,-1
1270.00,2323.00,32,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3950,2828,-1
275.00,917.00,3,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3950,4181,-1
812.00,174.00,37,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3950,21679,-1
86.00,430.00,2,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3950,21888,-1
8.00,2.00,4,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3950,31653,-1
2376.00,6626.00,43,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",3954,3680,1
90.00,60.00,4,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4036,24607,-1
498.00,1277.00,5,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4043,2828,-1
157.00,785.00,2,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4050,2828,-1
1050.00,1751.00,60,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4079,2828,-1
8965.00,14640.00,102,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4079,3680,1
17.00,21.00,2,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4079,4079,1
8.00,4.00,2,Laboratory - Chemistry and Hematology,"Anesthesia, labs, and medication supplies",4144,508,1
97.00,29.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3648,6813,-1
132.00,440.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3662,3891,-1
0.00,0.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3662,17708,-1
1515.00,10224.00,11,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3709,2826,-1
75.00,375.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3753,14818,-1
2156.00,9873.00,27,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,2526,-1
548.00,2392.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,2818,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,3294,-1
480.00,631.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,4059,-1
137.00,228.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,3208,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,3555,-1
479.00,340.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,4320,-1
199.00,1875.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3879,2826,-1
148.00,740.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3904,25842,-1
461.00,1988.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3950,2594,-1
282.00,705.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3950,3208,-1
160.00,178.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3950,4320,-1
154.00,154.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3954,4059,-1
353.00,3530.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4021,2594,-1
355.00,2074.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4021,3555,-1
415.00,1379.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,2526,-1
556.00,3630.00,8,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,2594,-1
74.00,208.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,20032,-1
157.00,224.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,23906,-1
203.00,509.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4163,2375,-1
513.00,3195.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4163,2526,-1
320.00,2400.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4249,2710,-1
237.00,789.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4249,3555,-1
33.00,165.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,2594,-1
463.00,2410.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,3555,-1
74.00,204.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,20032,-1
203.00,1015.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4266,2375,-1
118.00,1180.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4312,30238,-1
41.00,205.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,3852,-1
75.00,375.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,21668,-1
522.00,3915.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,30238,-1
91.00,114.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4335,2826,-1
78.00,260.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4335,4304,1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4335,4320,-1
439.00,1072.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4343,2526,-1
362.00,1361.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,2526,-1
353.00,1663.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,2818,-1
427.00,2135.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,3891,-1
690.00,4340.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2548,2826,-1
267.00,2670.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2701,2808,-1
0.00,0.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2701,3248,-1
302.00,2100.00,10,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2701,3891,-1
1984.00,13618.00,30,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2701,4183,-1
395.00,2100.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2701,30238,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2798,14365,-1
168.00,411.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2854,2526,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2893,2818,-1
801.00,4005.00,9,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2895,2826,-1
158.00,790.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2895,3555,-1
279.00,1395.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,4183,-1
175.00,1750.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,16535,-1
205.00,1025.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,28117,-1
286.00,1555.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,30238,-1
307.00,1535.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3054,2818,-1
77.00,770.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3054,20198,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3054,28924,-1
75.00,403.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3054,30325,-1
2130.00,9851.00,23,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3073,2526,-1
96.00,136.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3073,2725,-1
363.00,288.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3073,4304,1
105.00,216.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3073,20198,-1
76.00,760.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3101,3208,-1
0.00,0.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3101,3555,-1
0.00,0.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3101,20678,-1
237.00,2370.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3143,3555,-1
0.00,0.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3189,2310,-1
84.00,105.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3189,20198,-1
764.00,6632.00,8,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3192,2526,-1
619.00,3095.00,11,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3192,3891,-1
33.00,165.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3192,4304,1
107.00,60.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3192,17708,-1
67.00,434.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3192,20497,-1
158.00,790.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3374,3555,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3374,23868,-1
154.00,770.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3527,30238,-1
694.00,4060.00,24,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3578,3891,-1
709.00,4175.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3674,2526,-1
541.00,3993.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3709,2526,-1
193.00,1930.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3732,2818,-1
204.00,113.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,3248,-1
243.00,1720.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3758,3852,-1
150.00,500.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,3943,-1
206.00,2060.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,12612,-1
107.00,424.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4356,16535,-1
0.00,0.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4383,2826,-1
771.00,3570.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4789,2594,-1
434.00,543.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4789,3294,-1
564.00,3298.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4789,3445,-1
1353.00,7636.00,13,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,2594,-1
274.00,1408.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,2710,-1
208.00,688.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,3208,-1
69.00,345.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,4162,-1
148.00,691.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,20032,-1
204.00,555.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4792,32450,-1
406.00,1895.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,9488,4086,1
75.00,375.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,9488,30238,-1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,15268,2526,-1
1711.00,10286.00,20,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,19351,2594,-1
754.00,4570.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,19351,2710,-1
326.00,3260.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,19351,3555,-1
284.00,946.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,19351,4268,-1
37.00,185.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,19351,16535,-1
157.00,785.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,26333,2526,-1
100.00,111.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,28715,3852,-1
193.00,386.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,28932,2594,-1
297.00,1485.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,28932,2710,-1
671.00,4935.00,10,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,28932,3555,-1
236.00,88.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,31700,3248,-1
236.00,240.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,31700,4086,1
74.00,370.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,32034,17708,-1
123.00,1230.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,32059,2526,-1
170.00,850.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,32175,2818,-1
394.00,3940.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,32665,2826,-1
1500.00,12500.00,4,Oral and Dental Services,"Nose, Mouth, and Pharynx",180,29265,-1
4050.00,33750.00,3,Oral and Dental Services,"Nose, Mouth, and Pharynx",210,11319,-1
4050.00,27000.00,3,Oral and Dental Services,"Nose, Mouth, and Pharynx",242,11319,-1
2700.00,27000.00,2,Oral and Dental Services,"Nose, Mouth, and Pharynx",682,11319,-1
2700.00,20250.00,2,Oral and Dental Services,"Nose, Mouth, and Pharynx",3709,11319,-1
2700.00,27000.00,2,Oral and Dental Services,"Nose, Mouth, and Pharynx",3950,11319,-1
2700.00,10125.00,2,Oral and Dental Services,"Nose, Mouth, and Pharynx",4021,11319,-1
4050.00,33750.00,3,Oral and Dental Services,"Nose, Mouth, and Pharynx",4249,11319,-1
4050.00,20250.00,3,Oral and Dental Services,"Nose, Mouth, and Pharynx",4789,11319,-1
17550.00,123188.00,13,Oral and Dental Services,"Nose, Mouth, and Pharynx",28932,11319,-1
0.00,0.00,2,Other CT scan,Diagnostic Procedures,210,20050,-1
164.00,272.00,4,Other CT scan,Diagnostic Procedures,2457,2364,-1
410.00,680.00,10,Other CT scan,Diagnostic Procedures,2457,4118,-1
0.00,0.00,2,Other CT scan,Diagnostic Procedures,2457,26787,-1
12.00,10.00,2,Other CT scan,Diagnostic Procedures,2798,3680,1
236.00,1345.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,736,2375,-1
530.00,2083.00,8,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,736,2526,-1
413.00,3165.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,736,2818,-1
308.00,1540.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,736,3445,-1
183.00,366.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,744,2534,-1
2101.00,11612.00,14,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,744,10262,-1
25.00,250.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,744,14818,-1
852.00,4260.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,744,26243,-1
434.00,3750.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,922,2526,-1
193.00,965.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,922,2594,-1
126.00,630.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2287,2376,-1
320.00,2260.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2287,2826,-1
150.00,1125.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2287,21668,-1
451.00,3920.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2295,3891,-1
64.00,54.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2307,3294,-1
170.00,1700.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2397,2526,-1
157.00,785.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2409,2376,-1
75.00,297.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2409,2826,-1
237.00,2370.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2409,3555,-1
413.00,2325.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2409,4182,-1
115.00,575.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2409,24164,-1
87.00,174.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2457,2376,-1
850.00,1307.00,36,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2457,2826,-1
461.00,307.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2457,4304,1
100.00,500.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2457,21668,-1
31.00,26.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2457,26243,-1
1034.00,7835.00,13,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2548,2526,-1
396.00,1519.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2798,2826,-1
101.00,126.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2798,4024,-1
104.00,563.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2798,20032,-1
170.00,850.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2837,2594,-1
2702.00,3860.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2854,2310,-1
430.00,1054.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2893,3891,-1
170.00,1700.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2895,2375,-1
318.00,2215.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2895,2526,-1
193.00,965.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2895,2594,-1
41.00,410.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,2534,-1
320.00,2400.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,10262,-1
607.00,3967.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2958,25842,-1
336.00,1680.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2963,2526,-1
530.00,3385.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2963,3891,-1
90.00,505.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,2963,25885,-1
285.00,2850.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3054,2534,-1
101.00,51.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,2526,-1
425.00,585.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,2594,-1
709.00,323.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,3294,-1
118.00,131.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,4086,1
567.00,674.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3789,4304,1
137.00,1370.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3848,30286,-1
170.00,1700.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3879,2526,-1
282.00,2160.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3904,2826,-1
315.00,1293.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3904,3555,-1
126.00,140.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3904,4182,-1
1188.00,5183.00,20,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3950,2526,-1
1883.00,7925.00,42,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3954,3891,-1
210.00,210.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3954,4183,-1
78.00,390.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3954,10529,-1
520.00,1733.00,13,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,3954,22610,-1
94.00,940.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4021,2725,-1
354.00,2950.00,3,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4021,3891,-1
93.00,930.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4021,16535,-1
884.00,4721.00,9,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4043,2526,-1
193.00,1930.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4043,2594,-1
39.00,195.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4043,3943,-1
152.00,1520.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,2725,-1
676.00,1736.00,11,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4079,3891,-1
169.00,169.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4145,2826,-1
1015.00,5075.00,21,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4163,3891,-1
713.00,5915.00,9,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4163,4183,-1
193.00,965.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4249,2375,-1
2118.00,15430.00,49,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4249,3891,-1
66.00,495.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4249,4304,1
150.00,1500.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4251,4024,-1
66.00,440.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4251,4320,-1
476.00,3635.00,6,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,2526,-1
396.00,2435.00,5,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,2818,-1
964.00,4595.00,17,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,3891,-1
0.00,0.00,9,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,4304,1
269.00,1345.00,4,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4262,26344,-1
555.00,2775.00,7,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4301,4183,-1
269.00,1345.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4301,30238,-1
11.00,6.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,2543,-1
1186.00,5512.00,28,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,2826,-1
80.00,80.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4315,10692,-1
118.00,148.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4335,4086,1
0.00,0.00,2,Ophthalmologic and otologic diagnosis and treatment,Evaluation and Therapeutic Procedures,4335,23868,-1
116.00,830.00,2,Other CT scan,Diagnostic Procedures,2963,6937,1
0.00,0.00,2,Other CT scan,Diagnostic Procedures,3101,5196,1
241.00,348.00,2,Other CT scan,Diagnostic Procedures,3789,11786,-1
215.00,430.00,2,Other CT scan,Diagnostic Procedures,3879,3834,-1
153.00,255.00,2,Other CT scan,Diagnostic Procedures,3950,2828,-1
64.00,80.00,25,Other CT scan,Diagnostic Procedures,3950,3984,-1
0.00,0.00,7,Other CT scan,Diagnostic Procedures,4262,3984,-1
64.00,56.00,13,Other CT scan,Diagnostic Procedures,4792,3984,-1
301.00,136.00,3,Other CT scan,Diagnostic Procedures,4792,11786,-1
629.00,2786.00,4,Other CT scan,Diagnostic Procedures,31700,3680,1
2313.00,15875.00,16,Other diagnostic nervous system procedures,Nervous System,85,85,-1
235.00,890.00,2,Other diagnostic nervous system procedures,Nervous System,209,12,-1
257.00,2000.00,2,Other diagnostic nervous system procedures,Nervous System,210,210,1
642.00,2433.00,2,Other diagnostic nervous system procedures,Nervous System,242,4333,-1
